x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0.351487,0.341611,0.33192,0.322415,0.313094,0.303958,0.295006,0.286238,0.277652,0.269248,0.261025,0.252982,0.245118,0.237432,0.229921,0.222586,0.215424,0.208434,0.201614,0.194962,0.188477,0.182157,0.175999,0.170002,0.164164,0.158483,0.152955,0.14758,0.142355,0.137277,0.132345,0.127555,0.122905,0.118393,0.114016,0.109772,0.105659,0.101673,0.0978122,0.0940741,0.090456,0.0869553,0.0835696,0.0802961,0.0771325,0.074076,0.0711243,0.0682748,0.0655249,0.0628723,0.0603145,0.0578491,0.0554736,0.0531857,0.0509832,0.0488636,0.0468248,0.0448645,0.0429805,0.0411707,0.0394331,0.0377654,0.0361659,0.0346324,0.033163,0.031756,0.0304094,0.0291215,0.0278905,0.0267148,0.0255928,0.0245229,0.0235036,0.0225333,0.0216107,0.0207345,0.0199032,0.0191156,0.0183706,0.0176669,0.0170034,0.0163792,0.0157932,0.0152444,0.014732,0.0142551,0.0138129,0.0134047,0.0130298,0.0126876,0.0123775,0.0120989,0.0118515,0.0116346,0.0114481,0.0112916,0.0111647,0.0110673,0.0109993,0.0109604,0.0109507
0.369126,0.359243,0.349537,0.340007,0.330653,0.321474,0.312471,0.303642,0.294987,0.286505,0.278196,0.270058,0.26209,0.254293,0.246664,0.239202,0.231906,0.224774,0.217806,0.211,0.204354,0.197866,0.191535,0.18536,0.179338,0.173467,0.167746,0.162172,0.156744,0.15146,0.146317,0.141314,0.136448,0.131717,0.127119,0.122652,0.118313,0.114101,0.110012,0.106046,0.102198,0.0984682,0.0948528,0.0913499,0.0879573,0.0846726,0.0814935,0.0784178,0.0754432,0.0725674,0.0697883,0.0671037,0.0645112,0.0620088,0.0595943,0.0572656,0.0550206,0.0528572,0.0507735,0.0487674,0.0468369,0.0449801,0.0431952,0.0414803,0.0398336,0.0382533,0.0367376,0.035285,0.0338936,0.0325621,0.0312887,0.030072,0.0289105,0.0278028,0.0267475,0.0257433,0.024789,0.0238833,0.0230249,0.0222129,0.0214461,0.0207235,0.0200441,0.0194069,0.0188112,0.018256,0.0177407,0.0172643,0.0168264,0.0164263,0.0160633,0.015737,0.0154469,0.0151925,0.0149736,0.0147898,0.0146407,0.0145263,0.0144463,0.0144006,0.0143892
0.385972,0.376084,0.366365,0.356814,0.347431,0.338215,0.329167,0.320286,0.311571,0.303022,0.294638,0.286418,0.278362,0.270469,0.262737,0.255165,0.247753,0.240499,0.233403,0.226462,0.219676,0.213042,0.206561,0.200229,0.194046,0.188009,0.182118,0.176371,0.170765,0.165299,0.159971,0.15478,0.149723,0.144798,0.140004,0.135339,0.1308,0.126386,0.122094,0.117923,0.11387,0.109934,0.106112,0.102403,0.0988034,0.0953124,0.0919274,0.0886465,0.0854676,0.0823886,0.0794075,0.0765224,0.0737311,0.0710318,0.0684224,0.065901,0.0634656,0.0611144,0.0588455,0.056657,0.0545472,0.0525141,0.0505561,0.0486715,0.0468585,0.0451154,0.0434407,0.0418328,0.04029,0.038811,0.0373942,0.0360382,0.0347416,0.033503,0.0323212,0.0311949,0.0301229,0.029104,0.028137,0.027221,0.0263547,0.0255374,0.024768,0.0240456,0.0233693,0.0227385,0.0221522,0.0216099,0.0211109,0.0206545,0.0202402,0.0198675,0.0195359,0.019245,0.0189946,0.0187841,0.0186135,0.0184824,0.0183908,0.0183384,0.0183253
0.402129,0.392236,0.382505,0.372936,0.363528,0.35428,0.345193,0.336267,0.3275,0.318892,0.310443,0.302152,0.294018,0.286041,0.278219,0.270551,0.263038,0.255677,0.248468,0.241409,0.2345,0.227739,0.221124,0.214655,0.20833,0.202148,0.196107,0.190205,0.184442,0.178815,0.173323,0.167965,0.162738,0.157641,0.152672,0.14783,0.143112,0.138518,0.134044,0.129689,0.125452,0.121331,0.117323,0.113427,0.109641,0.105964,0.102392,0.0989251,0.0955605,0.0922965,0.0891314,0.0860633,0.0830903,0.0802106,0.0774224,0.074724,0.0721135,0.0695893,0.0671495,0.0647926,0.0625167,0.0603202,0.0582016,0.0561592,0.0541913,0.0522966,0.0504734,0.0487203,0.0470358,0.0454186,0.0438671,0.0423802,0.0409564,0.0395946,0.0382934,0.0370518,0.0358684,0.0347424,0.0336725,0.0326577,0.0316971,0.0307897,0.0299346,0.029131,0.028378,0.027675,0.0270211,0.0264157,0.0258582,0.0253481,0.0248847,0.0244675,0.0240962,0.0237704,0.0234897,0.0232537,0.0230624,0.0229153,0.0228125,0.0227538,0.0227391
0.417679,0.407783,0.398042,0.388457,0.379026,0.369751,0.36063,0.351663,0.342851,0.334191,0.325685,0.317331,0.309129,0.301077,0.293176,0.285424,0.277821,0.270366,0.263057,0.255895,0.248877,0.242002,0.23527,0.228679,0.222229,0.215917,0.209742,0.203704,0.197801,0.192031,0.186393,0.180885,0.175507,0.170256,0.165131,0.16013,0.155252,0.150495,0.145858,0.141339,0.136936,0.132647,0.128472,0.124407,0.120453,0.116606,0.112865,0.109229,0.105696,0.102264,0.0989307,0.0956957,0.0925567,0.0895122,0.0865604,0.0836998,0.0809287,0.0782455,0.0756486,0.0731365,0.0707076,0.0683603,0.0660932,0.0639048,0.0617936,0.0597582,0.0577972,0.0559092,0.0540929,0.0523469,0.05067,0.0490609,0.0475184,0.0460413,0.0446284,0.0432787,0.0419911,0.0407644,0.0395978,0.0384903,0.0374409,0.0364487,0.0355129,0.0346328,0.0338075,0.0330363,0.0323185,0.0316536,0.0310409,0.0304798,0.0299699,0.0295107,0.0291018,0.0287428,0.0284334,0.0281734,0.0279623,0.0278002,0.0276868,0.027622,0.0276058
0.432694,0.422795,0.413045,0.403445,0.393995,0.384694,0.375543,0.366541,0.357688,0.348983,0.340426,0.332016,0.323753,0.315637,0.307665,0.299839,0.292156,0.284617,0.27722,0.269964,0.26285,0.255874,0.249038,0.242338,0.235776,0.229348,0.223055,0.216895,0.210866,0.204968,0.199199,0.193558,0.188044,0.182655,0.177389,0.172246,0.167224,0.162321,0.157537,0.152869,0.148316,0.143877,0.13955,0.135333,0.131225,0.127225,0.123331,0.119542,0.115855,0.11227,0.108784,0.105397,0.102107,0.0989118,0.0958105,0.0928015,0.0898832,0.0870543,0.0843133,0.0816587,0.0790891,0.0766031,0.0741994,0.0718764,0.069633,0.0674678,0.0653794,0.0633667,0.0614283,0.0595631,0.0577698,0.0560473,0.0543945,0.0528103,0.0512935,0.0498433,0.0484584,0.0471381,0.0458813,0.0446872,0.0435549,0.0424835,0.0414723,0.0405206,0.0396275,0.0387926,0.038015,0.0372942,0.0366297,0.0360209,0.0354674,0.0349688,0.0345246,0.0341345,0.0337982,0.0335154,0.0332859,0.0331096,0.0329862,0.0329157,0.0328981
0.447233,0.437329,0.427572,0.417959,0.408492,0.399169,0.389991,0.380958,0.372068,0.363323,0.354721,0.346261,0.337944,0.329769,0.321735,0.313841,0.306088,0.298474,0.290998,0.28366,0.276458,0.269393,0.262463,0.255667,0.249004,0.242473,0.236073,0.229803,0.223662,0.217649,0.211763,0.206002,0.200365,0.194851,0.18946,0.184188,0.179036,0.174002,0.169085,0.164283,0.159594,0.155019,0.150554,0.1462,0.141954,0.137815,0.133781,0.129852,0.126026,0.122302,0.118677,0.115151,0.111723,0.108391,0.105153,0.102008,0.0989555,0.0959932,0.0931202,0.090335,0.0876365,0.0850231,0.0824938,0.0800472,0.0776822,0.0753974,0.0731918,0.0710641,0.0690131,0.0670379,0.0651372,0.06331,0.0615552,0.0598719,0.058259,0.0567155,0.0552407,0.0538335,0.052493,0.0512186,0.0500093,0.0488643,0.0477831,0.0467647,0.0458087,0.0449144,0.0440811,0.0433083,0.0425956,0.0419424,0.0413483,0.0408128,0.0403357,0.0399166,0.0395552,0.0392512,0.0390045,0.0388149,0.0386823,0.0386065,0.0385876
0.461344,0.451438,0.441673,0.432049,0.422566,0.413224,0.404022,0.394961,0.386039,0.377257,0.368614,0.36011,0.351745,0.343517,0.335427,0.327474,0.319657,0.311976,0.304429,0.297017,0.289738,0.282592,0.275577,0.268694,0.261941,0.255317,0.248821,0.242453,0.236211,0.230095,0.224102,0.218233,0.212486,0.206861,0.201355,0.195968,0.190698,0.185545,0.180508,0.175584,0.170773,0.166074,0.161485,0.157006,0.152634,0.148369,0.144209,0.140153,0.136201,0.132349,0.128598,0.124946,0.121392,0.117935,0.114572,0.111304,0.108128,0.105044,0.10205,0.0991456,0.0963289,0.093599,0.0909546,0.0883946,0.0859179,0.0835235,0.0812101,0.0789767,0.0768223,0.0747458,0.0727462,0.0708225,0.0689738,0.0671991,0.0654975,0.0638682,0.0623102,0.0608228,0.0594051,0.0580564,0.0567759,0.0555629,0.0544168,0.0533369,0.0523225,0.0513732,0.0504884,0.0496675,0.04891,0.0482156,0.0475838,0.0470143,0.0465066,0.0460606,0.0456759,0.0453523,0.0450896,0.0448877,0.0447465,0.0446658,0.0446456
0.475073,0.465165,0.455393,0.445759,0.436262,0.426902,0.417679,0.408592,0.399641,0.390827,0.382148,0.373604,0.365195,0.35692,0.34878,0.340773,0.332899,0.325157,0.317547,0.310068,0.302719,0.2955,0.28841,0.281448,0.274614,0.267906,0.261324,0.254867,0.248534,0.242324,0.236236,0.23027,0.224423,0.218696,0.213087,0.207596,0.20222,0.19696,0.191813,0.186779,0.181858,0.177046,0.172345,0.167752,0.163266,0.158886,0.154612,0.150441,0.146373,0.142406,0.13854,0.134773,0.131104,0.127532,0.124056,0.120675,0.117387,0.114192,0.111088,0.108074,0.105149,0.102313,0.099563,0.0968992,0.0943203,0.0918253,0.0894131,0.0870828,0.0848335,0.082664,0.0805736,0.0785614,0.0766263,0.0747677,0.0729845,0.0712761,0.0696417,0.0680804,0.0665916,0.0651745,0.0638284,0.0625527,0.0613468,0.0602101,0.059142,0.058142,0.0572095,0.0563442,0.0555455,0.054813,0.0541465,0.0535454,0.0530096,0.0525387,0.0521325,0.0517907,0.0515133,0.0513001,0.0511508,0.0510656,0.0510443
0.488458,0.478547,0.46877,0.459126,0.449617,0.440241,0.430998,0.421888,0.412912,0.404068,0.395356,0.386776,0.378328,0.370011,0.361825,0.35377,0.345844,0.338048,0.33038,0.322841,0.315429,0.308145,0.300987,0.293954,0.287046,0.280263,0.273603,0.267066,0.26065,0.254356,0.248182,0.242127,0.236191,0.230372,0.22467,0.219083,0.213611,0.208254,0.203008,0.197875,0.192852,0.18794,0.183136,0.17844,0.17385,0.169366,0.164987,0.160712,0.156539,0.152467,0.148496,0.144625,0.140852,0.137176,0.133596,0.130112,0.126722,0.123425,0.12022,0.117107,0.114083,0.111149,0.108303,0.105544,0.102872,0.100285,0.0977825,0.0953634,0.0930271,0.0907725,0.0885989,0.0865054,0.0844912,0.0825555,0.0806975,0.0789166,0.0772119,0.0755829,0.0740287,0.0725487,0.0711424,0.0698091,0.0685483,0.0673593,0.0662418,0.0651951,0.0642189,0.0633126,0.0624759,0.0617085,0.0610099,0.0603798,0.059818,0.0593243,0.0588982,0.0585398,0.0582488,0.0580251,0.0578685,0.0577791,0.0577567
