x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,0.0099,0.0196,0.0291,0.0384,0.0475,0.0564,0.0651,0.0736,0.0819,0.09,0.0979,0.1056,0.1131,0.1204,0.1275,0.1344,0.1411,0.1476,0.1539,0.16,0.1659,0.1716,0.1771,0.1824,0.1875,0.1924,0.1971,0.2016,0.2059,0.21,0.2139,0.2176,0.2211,0.2244,0.2275,0.2304,0.2331,0.2356,0.2379,0.24,0.2419,0.2436,0.2451,0.2464,0.2475,0.2484,0.2491,0.2496,0.2499,0.25,0.2499,0.2496,0.2491,0.2484,0.2475,0.2464,0.2451,0.2436,0.2419,0.24,0.2379,0.2356,0.2331,0.2304,0.2275,0.2244,0.2211,0.2176,0.2139,0.21,0.2059,0.2016,0.1971,0.1924,0.1875,0.1824,0.1771,0.1716,0.1659,0.16,0.1539,0.1476,0.1411,0.1344,0.1275,0.1204,0.1131,0.1056,0.0979,0.09,0.0819,0.0736,0.0651,0.0564,0.0475,0.0384,0.0291,0.0196,0.0099,0
0.0294918,0.0308236,0.0342866,0.0392466,0.0452418,0.0519361,0.059085,0.0665103,0.0740824,0.081707,0.0893154,0.0968575,0.104297,0.111607,0.118769,0.125769,0.132596,0.139242,0.145704,0.151975,0.158055,0.16394,0.169629,0.175121,0.180415,0.185511,0.190408,0.195106,0.199604,0.203903,0.208002,0.211902,0.215601,0.219101,0.222401,0.2255,0.2284,0.2311,0.2336,0.2359,0.238,0.2399,0.2416,0.2431,0.2444,0.2455,0.2464,0.2471,0.2476,0.2479,0.248,0.2479,0.2476,0.2471,0.2464,0.2455,0.2444,0.2431,0.2416,0.2399,0.238,0.2359,0.2336,0.2311,0.2284,0.2255,0.222401,0.219101,0.215601,0.211902,0.208002,0.203903,0.199604,0.195106,0.190408,0.185511,0.180415,0.175121,0.169629,0.16394,0.158055,0.151975,0.145704,0.139242,0.132596,0.125769,0.118769,0.111607,0.104297,0.0968575,0.0893154,0.081707,0.0740824,0.0665103,0.059085,0.0519361,0.0452418,0.0392466,0.0342866,0.0308236,0.0294918
0.0433679,0.0440509,0.0460429,0.0492051,0.0533624,0.0583338,0.0639481,0.0700522,0.076514,0.0832222,0.0900848,0.0970267,0.103988,0.110919,0.117783,0.12455,0.131196,0.137702,0.144055,0.150243,0.156259,0.162095,0.167746,0.17321,0.178482,0.183562,0.188446,0.193135,0.197626,0.201919,0.206014,0.209911,0.213608,0.217106,0.220404,0.223503,0.226402,0.229102,0.231601,0.233901,0.236001,0.237901,0.2396,0.2411,0.2424,0.2435,0.2444,0.2451,0.2456,0.2459,0.246,0.2459,0.2456,0.2451,0.2444,0.2435,0.2424,0.2411,0.2396,0.237901,0.236001,0.233901,0.231601,0.229102,0.226402,0.223503,0.220404,0.217106,0.213608,0.209911,0.206014,0.201919,0.197626,0.193135,0.188446,0.183562,0.178482,0.17321,0.167746,0.162095,0.156259,0.150243,0.144055,0.137702,0.131196,0.12455,0.117783,0.110919,0.103988,0.0970267,0.0900848,0.0832222,0.076514,0.0700522,0.0639481,0.0583338,0.0533624,0.0492051,0.0460429,0.0440509,0.0433679
0.0532432,0.0537337,0.0551868,0.0575499,0.0607448,0.0646767,0.0692427,0.0743388,0.0798648,0.0857274,0.0918421,0.0981342,0.104539,0.111,0.11747,0.12391,0.130287,0.136573,0.142748,0.148793,0.154693,0.160436,0.166015,0.17142,0.176647,0.18169,0.186546,0.191212,0.195686,0.199966,0.20405,0.207938,0.211629,0.215122,0.218417,0.221513,0.22441,0.227107,0.229606,0.231904,0.234003,0.235902,0.237602,0.239101,0.240401,0.241501,0.242401,0.243101,0.2436,0.2439,0.244,0.2439,0.2436,0.243101,0.242401,0.241501,0.240401,0.239101,0.237602,0.235902,0.234003,0.231904,0.229606,0.227107,0.22441,0.221513,0.218417,0.215122,0.211629,0.207938,0.20405,0.199966,0.195686,0.191212,0.186546,0.18169,0.176647,0.17142,0.166015,0.160436,0.154693,0.148793,0.142748,0.136573,0.130287,0.12391,0.11747,0.111,0.104539,0.0981342,0.0918421,0.0857274,0.0798648,0.0743388,0.0692427,0.0646767,0.0607448,0.0575499,0.0551868,0.0537337,0.0532432
0.0611336,0.0615265,0.0626955,0.0646128,0.0672342,0.070503,0.0743536,0.078715,0.0835141,0.0886786,0.094139,0.0998299,0.105691,0.111669,0.117715,0.123786,0.129846,0.135862,0.141808,0.14766,0.1534,0.15901,0.164479,0.169794,0.174947,0.17993,0.184738,0.189365,0.193807,0.198062,0.202126,0.205998,0.209676,0.213159,0.216446,0.219536,0.222428,0.225121,0.227616,0.229913,0.23201,0.233908,0.235606,0.237105,0.238404,0.239503,0.240402,0.241102,0.241602,0.241901,0.242001,0.241901,0.241602,0.241102,0.240402,0.239503,0.238404,0.237105,0.235606,0.233908,0.23201,0.229913,0.227616,0.225121,0.222428,0.219536,0.216446,0.213159,0.209676,0.205998,0.202126,0.198062,0.193807,0.189365,0.184738,0.17993,0.174947,0.169794,0.164479,0.15901,0.1534,0.14766,0.141808,0.135862,0.129846,0.123786,0.117715,0.111669,0.105691,0.0998299,0.094139,0.0886786,0.0835141,0.078715,0.0743536,0.070503,0.0672342,0.0646128,0.0626955,0.0615265,0.0611336
0.0677856,0.0681172,0.0691059,0.0707337,0.0729722,0.0757831,0.0791212,0.0829354,0.0871715,0.0917732,0.0966847,0.101851,0.10722,0.112743,0.118373,0.124071,0.129797,0.135519,0.141208,0.146837,0.152384,0.15783,0.163159,0.168356,0.17341,0.17831,0.183048,0.187618,0.192013,0.196228,0.200261,0.204107,0.207764,0.211229,0.214502,0.21758,0.220463,0.22315,0.225639,0.227931,0.230024,0.231919,0.233615,0.235112,0.236409,0.237507,0.238406,0.239105,0.239604,0.239904,0.240004,0.239904,0.239604,0.239105,0.238406,0.237507,0.236409,0.235112,0.233615,0.231919,0.230024,0.227931,0.225639,0.22315,0.220463,0.21758,0.214502,0.211229,0.207764,0.204107,0.200261,0.196228,0.192013,0.187618,0.183048,0.17831,0.17341,0.168356,0.163159,0.15783,0.152384,0.146837,0.141208,0.135519,0.129797,0.124071,0.118373,0.112743,0.10722,0.101851,0.0966847,0.0917732,0.0871715,0.0829354,0.0791212,0.0757831,0.0729722,0.0707337,0.0691059,0.0681172,0.0677856
0.0735714,0.07386,0.0747214,0.0761431,0.0781045,0.0805782,0.0835306,0.0869233,0.0907144,0.0948597,0.0993135,0.10403,0.108965,0.114075,0.119319,0.124658,0.130055,0.13548,0.1409,0.146291,0.151627,0.156888,0.162055,0.167112,0.172045,0.176842,0.181492,0.185986,0.190318,0.194481,0.198469,0.202278,0.205904,0.209344,0.212595,0.215656,0.218525,0.2212,0.223679,0.225963,0.22805,0.22994,0.231632,0.233126,0.234421,0.235517,0.236414,0.237112,0.23761,0.237909,0.238009,0.237909,0.23761,0.237112,0.236414,0.235517,0.234421,0.233126,0.231632,0.22994,0.22805,0.225963,0.223679,0.2212,0.218525,0.215656,0.212595,0.209344,0.205904,0.202278,0.198469,0.194481,0.190318,0.185986,0.181492,0.176842,0.172045,0.167112,0.162055,0.156888,0.151627,0.146291,0.1409,0.13548,0.130055,0.124658,0.119319,0.114075,0.108965,0.10403,0.0993135,0.0948597,0.0907144,0.0869233,0.0835306,0.0805782,0.0781045,0.0761431,0.0747214,0.07386,0.0735714
0.0787078,0.078964,0.0797297,0.0809951,0.0827448,0.0849578,0.087608,0.0906654,0.0940965,0.0978657,0.101935,0.106267,0.110822,0.115564,0.120454,0.125459,0.130543,0.135677,0.140832,0.145979,0.151096,0.156161,0.161152,0.166054,0.170851,0.175528,0.180075,0.18448,0.188734,0.19283,0.196761,0.200522,0.204107,0.207513,0.210735,0.213772,0.21662,0.219278,0.221744,0.224016,0.226094,0.227976,0.229661,0.23115,0.232441,0.233533,0.234428,0.235124,0.235621,0.23592,0.236019,0.23592,0.235621,0.235124,0.234428,0.233533,0.232441,0.23115,0.229661,0.227976,0.226094,0.224016,0.221744,0.219278,0.21662,0.213772,0.210735,0.207513,0.204107,0.200522,0.196761,0.19283,0.188734,0.18448,0.180075,0.175528,0.170851,0.166054,0.161152,0.156161,0.151096,0.145979,0.140832,0.135677,0.130543,0.125459,0.120454,0.115564,0.110822,0.106267,0.101935,0.0978657,0.0940965,0.0906654,0.087608,0.0849578,0.0827448,0.0809951,0.0797297,0.078964,0.0787078
0.083334,0.0835649,0.084255,0.0853969,0.0869782,0.0889822,0.091388,0.0941713,0.0973048,0.100759,0.104502,0.108502,0.112725,0.117139,0.12171,0.126407,0.131199,0.136057,0.140953,0.145861,0.150758,0.155621,0.160431,0.165169,0.169818,0.174365,0.178796,0.183099,0.187264,0.191282,0.195145,0.198847,0.202382,0.205744,0.20893,0.211935,0.214757,0.217392,0.219839,0.222095,0.224159,0.22603,0.227707,0.229188,0.230473,0.231561,0.232452,0.233145,0.233641,0.233938,0.234037,0.233938,0.233641,0.233145,0.232452,0.231561,0.230473,0.229188,0.227707,0.22603,0.224159,0.222095,0.219839,0.217392,0.214757,0.211935,0.20893,0.205744,0.202382,0.198847,0.195145,0.191282,0.187264,0.183099,0.178796,0.174365,0.169818,0.165169,0.160431,0.155621,0.150758,0.145861,0.140953,0.136057,0.131199,0.126407,0.12171,0.117139,0.112725,0.108502,0.104502,0.100759,0.0973048,0.0941713,0.091388,0.0889822,0.0869782,0.0853969,0.084255,0.0835649,0.083334
0.0875458,0.0877561,0.0883848,0.0894258,0.090869,0.0927008,0.094904,0.0974583,0.100341,0.103527,0.106989,0.110701,0.114632,0.118753,0.123036,0.127452,0.131973,0.136571,0.141221,0.145898,0.150579,0.155242,0.159868,0.164437,0.168934,0.173342,0.177648,0.18184,0.185906,0.189837,0.193624,0.197258,0.200734,0.204044,0.207186,0.210152,0.212941,0.215548,0.21797,0.220206,0.222253,0.224109,0.225774,0.227245,0.228521,0.229603,0.230488,0.231178,0.231671,0.231966,0.232065,0.231966,0.231671,0.231178,0.230488,0.229603,0.228521,0.227245,0.225774,0.224109,0.222253,0.220206,0.21797,0.215548,0.212941,0.210152,0.207186,0.204044,0.200734,0.197258,0.193624,0.189837,0.185906,0.18184,0.177648,0.173342,0.168934,0.164437,0.159868,0.155242,0.150579,0.145898,0.141221,0.136571,0.131973,0.127452,0.123036,0.118753,0.114632,0.110701,0.106989,0.103527,0.100341,0.0974583,0.094904,0.0927008,0.090869,0.0894258,0.0883848,0.0877561,0.0875458
